id,english,es,cefr_level,pos,frequency_1to10
ahuyentar_verb,to scare away,ahuyentar,B2,verb,6
ahi_adverb,there,ahí,A1,adverb,2
aire_noun,air,aire,A2,noun,4
aire_acondicionado_phrase,air conditioning,aire acondicionado,B1,phrase,7
aislamiento_noun,insulation,aislamiento,B2,noun,7
aislar_verb,to isolate,aislar,B2,verb,7
ajedrez_noun,chess,ajedrez,A2,noun,7
ajo_noun,garlic,ajo,A2,noun,7
ajustar_verb,to adjust,ajustar,B2,verb,6
ajustes_noun,settings,ajustes,B1,noun,6
ajusticiar_verb,to execute,ajusticiar,B2,verb,7
al_noun,to the,al,A2,preposition,1
al_aire_libre_phrase,outdoor,al aire libre,B1,phrase,6
al_azar_adverb,randomly,al azar,B1,adverb,7
al_cabo_de_adverb,after,al cabo de,B1,adverb,2
al_contado_phrase,up front,al contado,B1,phrase,4
al_contrario_adverb,on the contrary,al contrario,B1,adverb,6
al_contrario_de_adverb,contrary to,al contrario de,B2,adverb,6
al_fin_phrase,finally,al fin,B1,phrase,4
al_final_adverb,in the end,al final,A2,adverb,3
al_inicio_phrase,at first,al inicio,B1,phrase,2
al_lado_phrase,next to,al lado,A2,phrase,3
al_lado_de_preposition,next to,al lado de,A2,preposition,3
al_menos_adverb,at least,al menos,A2,adverb,4
al_mismo_tiempo_phrase,time,al mismo tiempo,B1,phrase,2
al_momento_adverb,immediately,al momento,A2,adverb,5
al_poco_tiempo_phrase,a little later,al poco tiempo,B1,phrase,4
al_principio_adverb,at first,al principio,A2,adverb,2
al_respecto_adverb,in this regard,al respecto,B1,adverb,6
al_revés_phrase,inside out,al revés,B1,phrase,4
al_salir_phrase,left,al salir,B1,phrase,3
al_vapor_phrase,steam,al vapor,B1,phrase,5
ala_delta_noun,hang gliding,ala delta,B2,noun,8
alabar_verb,to praise,alabar,A2,verb,6
alargado_adjective,elongated,alargado,B2,adjective,8
alargar_verb,to lengthen,alargar,B2,verb,9
alarmar_verb,to alarm,alarmar,B2,verb,6
alba_noun,dawn,alba,B1,noun,6
albahaca_noun,basil,albahaca,B1,noun,7
albarán_noun,delivery note,albarán,B2,noun,5
albañil_noun,bricklayer,albañil,B2,noun,9
albergar_verb,to harbor,albergar,B2,verb,6
albergue_noun,hostel,albergue,B1,noun,8
alcachofa_noun,artichoke,alcachofa,B1,noun,9
alcalde_noun,mayor,alcalde,B1,noun,5
alcance_noun,scope,alcance,B1,noun,6
alcantarilla_noun,sewer,alcantarilla,B1,noun,7
alcanzar_verb,to reach/achieve,alcanzar,B1,verb,5
alce_noun,moose,alce,B1,noun,7
alcohol_noun,alcohol,alcohol,B1,noun,5
aldea_noun,village,aldea,A2,noun,5
aleatorio_adjective,random,aleatorio,B2,adjective,5
alegoría_noun,allegory,alegoría,B2,noun,8
alegrar_verb,to make happy,alegrar,B2,verb,4
alegrarse_verb,to be happy,alegrarse,A2,verb,4
alegre_adjective,cheerful,alegre,A2,adjective,7
alejar_verb,to move away,alejar,B2,verb,4
alemán_noun,German,alemán,A2,adjective,5
alentar_verb,to encourage,alentar,B2,verb,6
alergia_noun,allergy,alergia,B1,noun,7
alerta_meteorológica_noun,weather warning,alerta meteorológica,B1,noun,5
alertar_verb,to alert,alertar,B2,verb,6
alfabetizar_verb,to teach to read,alfabetizar,B2,verb,5
alfabeto_noun,alphabet,alfabeto,B1,noun,7
alfarería_noun,pottery,alfarería,B2,noun,7
alfombra_noun,carpet/rug,alfombra,A2,noun,6
alfombrar_verb,to carpet,alfombrar,B2,verb,6
alféizar_noun,windowsill,alféizar,B2,noun,9
alga_noun,seaweed,alga,B1,noun,8
algo_noun,anything,algo,A2,pronoun,3
algo_de_phrase,some,algo de,B1,phrase,2
algodon_noun,cotton,algodón,A2,noun,6
alguien_noun,anyone,alguien,B1,noun,4
alguna_noun,any,alguna,A2,adjective,2
alguna_cosa_phrase,anything,alguna cosa,B1,phrase,3
alguna_vez_phrase,ever,alguna vez,B1,phrase,3
alguno_noun,any,alguno,A2,pronoun,2
algunos_noun,a few,algunos,B1,noun,3
algun_adjective,some,algún,A2,adjective,2
algún_día_phrase,sometime,algún día,B1,phrase,6
aliado_noun,ally,aliado,B1,noun,6
alianza_noun,alliance,alianza,B1,noun,6
alienar_verb,to alienate,alienar,B2,verb,8
aligerar_verb,to lighten,aligerar,B2,verb,8
alimentación_noun,power,alimentación,B1,noun,3
alimentar_verb,to feed,alimentar,B2,verb,5
alinear_verb,to align,alinear,B2,verb,7
alisar_verb,to smooth,alisar,B2,verb,6
alistar_verb,to enlist,alistar,B2,verb,8
aliviado_adjective,relieved,aliviado,B1,adjective,7
aliviar_verb,to relieve,aliviar,B2,verb,7
alivio_noun,relief,alivio,B1,noun,5
aliño_noun,dressing,aliño,B1,noun,6
allanamiento_noun,burglary,allanamiento,B2,noun,8
allende_adverb,beyond,allende,B2,adverb,5
allá_noun,there,allá,A2,adverb,2
allí_noun,there,allí,A2,adverb,2
alma_noun,soul,alma,B1,noun,5
alma_gemela_phrase,soulmate,alma gemela,B1,phrase,9
almacenamiento_noun,storage,almacenamiento,B1,noun,5
almacenamiento_en_la_noun,cloud storage,almacenamiento en la nube,B2,noun,6
almacenar_verb,to store,almacenar,B2,verb,4
almacén_noun,warehouse,almacén,B1,noun,6
almeja_noun,clam,almeja,B1,noun,8
almidón_noun,starch,almidón,B2,noun,8
almohada_noun,pillow,almohada,A2,noun,7
almorcé_noun,ate lunch,almorcé,B1,noun,6
almorzar_verb,to have lunch,almorzar,A1,verb,5
almuerza_noun,eats lunch,almuerza,B1,noun,7
almuerzo_noun,lunch,almuerzo,B1,noun,5
almáciga_noun,seedbed,almáciga,B2,noun,10
alojamiento_noun,accommodation,alojamiento,B1,noun,6
alojarse_verb,to stay/lodge,alojarse,A2,verb,4
alpaca_noun,alpaca,alpaca,B1,noun,9
alquilar_verb,to rent,alquilar,B1,verb,5
alquiler_noun,rent,alquiler,B1,noun,5
alquitrán_noun,tar,alquitrán,B2,noun,7
alrededor_adverb,around,alrededor,A2,adverb,3
alrededor_de_preposition,around,alrededor de,A2,preposition,3
alta_noun,tall,alta,A2,adjective,5
alta_médica_noun,hospital discharge,alta médica,B1,noun,7
altavoz_noun,speaker,altavoz,A2,noun,6
altavoz_inteligente_noun,smart speaker,altavoz inteligente,A2,noun,6
alterar_verb,to alter,alterar,B2,verb,6
alternado_adjective,alternating,alternado,B1,adjective,7
alternar_verb,to alternate,alternar,B2,verb,6
alternativa_noun,alternative,alternativa,B1,noun,5
alternativo_adjective,alternative,alternativo,B1,adjective,5
altiplano_noun,high plateau,altiplano,B2,noun,7
altitud_noun,altitude,altitud,B1,noun,7
altivo_adjective,haughty,altivo,B2,adjective,9
alto_adjective,tall/high,alto,A1,adjective,5
altura_noun,height,altura,A2,noun,5
alucinación_noun,hallucination,alucinación,B2,noun,9
alumbrar_verb,to light up,alumbrar,B2,verb,4
aluminio_noun,aluminum,aluminio,B1,noun,6
alumno_noun,student,alumno,A2,noun,4
alzar_verb,to raise,alzar,B2,verb,5
alzheimer_noun,Alzheimer's,alzheimer,B2,noun,7
alérgico_adjective,allergic,alérgico,A2,adjective,7
ama_de_casa_phrase,housewife,ama de casa,B1,phrase,8
amabilidad_noun,kindness,amabilidad,B1,noun,6
amable_adjective,kind,amable,A2,adjective,4
amalgamar_verb,to amalgamate,amalgamar,B2,verb,9
amamantar_verb,to breastfeed,amamantar,B2,verb,9
amanecer_verb,to dawn,amanecer,B2,verb,6
amante_noun,lover,amante,A2,noun,6
amapola_noun,poppy,amapola,B1,noun,7
amar_verb,to love,amar,A1,verb,3
amargo_adjective,bitter,amargo,A2,adjective,6
amarillo_adjective,yellow,amarillo,A1,adjective,5
amasar_verb,to knead,amasar,B2,verb,9
amateur_adjective,amateur,amateur,B1,adjective,6
ambicioso_adjective,ambitious,ambicioso,B1,adjective,7
ambición_noun,ambition,ambición,B1,noun,7
ambientar_verb,to set (scene),ambientar,B2,verb,3
ambiente_noun,room,ambiente,B1,noun,4
ambiguo_adjective,ambiguous,ambiguo,B2,adjective,7
ambivalencia_noun,ambivalence,ambivalencia,B2,noun,9
ambos_adjective,both,ambos,A2,adjective,3
ambulancia_noun,ambulance,ambulancia,B1,noun,6
amenazar_verb,to threaten,amenazar,B2,verb,7
amenazas_noun,threats,amenazas,B1,noun,6
amenizar_verb,to make pleasant,amenizar,B2,verb,6
americana_noun,blazer,americana,B1,noun,8
americano_noun,American,americano,B1,adjective,4
amiga_noun,friend,amiga,A1,noun,4
amigable_adjective,friendly,amigable,B1,adjective,5
amigo_noun,friend,amigo,A1,noun,4
amistad_noun,friends,amistad,B1,noun,4
amnésico_adjective,amnesic,amnésico,B2,adjective,10
amontonar_verb,to pile up,amontonar,B2,verb,6
amor_noun,love,amor,A1,noun,3
amor_propio_noun,self-love,amor propio,B1,noun,4
amoroso_adjective,loving,amoroso,A2,adjective,6
amortizar_verb,to amortize,amortizar,B2,verb,10
amorío_noun,fling,amorío,B1,noun,8
amparar_verb,to protect,amparar,B2,verb,5
amparo_noun,shelter,amparo,B1,noun,6
amperio_noun,ampere,amperio,B2,noun,9
